name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-22,87.6,76.8,79.9,99.9,76.8,83.1,76.4,89.6,0.24,100,8.33,rain,0,0,27.7,17.2,104.3,1013.7,68.9,5.4,241.7,20.9,8,30,2025-05-22T05:42:47,2025-05-22T18:22:28,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-23,87.6,77,80.9,97.5,77,85.2,76,85.9,0,0,0,rain,0,0,24.2,16.1,102.8,1015,71.2,6.4,291.4,25.3,9,30,2025-05-23T05:42:42,2025-05-23T18:22:43,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-24,86,76.9,81.7,97.3,76.9,87.5,76,83.2,0.012,100,4.17,rain,0,0,26.6,20.8,100.1,1014.7,45.7,6,271.6,23.4,9,30,2025-05-24T05:42:38,2025-05-24T18:22:58,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-25,85.8,76.8,79.6,98.7,76.8,82.7,77,92.2,0.799,100,12.5,rain,0,0,35.8,17.2,103.4,1014.5,71,3.9,172.9,14.8,6,30,2025-05-25T05:42:34,2025-05-25T18:23:14,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-26,86.3,77,80.9,99.4,77,85.7,76.8,87.6,0.079,100,4.17,rain,0,0,23,17.2,99.5,1014.8,48.2,4.7,273.5,23.7,9,30,2025-05-26T05:42:31,2025-05-26T18:23:30,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-27,82.6,76.8,79.7,92.7,76.8,82.9,76.3,89.4,0.232,100,8.33,rain,0,0,24.2,13.9,96,1015.2,57.9,5.5,203.9,17.6,6,10,2025-05-27T05:42:30,2025-05-27T18:23:46,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-28,85.8,75,79.8,97,75,84,75.9,88.2,0.051,100,8.33,rain,0,0,24.2,17.2,96.3,1015.4,74.6,6.3,256.2,22.1,8,30,2025-05-28T05:42:28,2025-05-28T18:24:02,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-29,86,78.6,81.2,99.4,78.6,86.8,77.6,89.1,0.079,100,4.17,rain,0,0,24.2,16.1,104.1,1015.2,57.7,6.8,173.6,14.9,6,30,2025-05-29T05:42:28,2025-05-29T18:24:18,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-30,86,77.1,81,99,77.1,86,77.3,89,0.354,100,8.33,rain,0,0,23.5,13.9,95.1,1014.6,72.1,7.2,237.1,20.4,8,30,2025-05-30T05:42:28,2025-05-30T18:24:34,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-05-31,86.2,76.9,81,98.7,76.9,86.1,77.1,88.5,0.98,100,8.33,rain,0,0,25.3,18.3,99.8,1014.4,67.6,4.4,250.7,21.6,9,10,2025-05-31T05:42:29,2025-05-31T18:24:51,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-01,84.3,78.6,81.2,97.8,78.6,88.1,77.9,89.9,0.087,100,8.33,rain,0,0,29.8,18.3,99.6,1015.7,75.3,3.2,209.6,18.1,7,30,2025-06-01T05:42:31,2025-06-01T18:25:07,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-02,87.6,78.6,82.1,99.6,78.6,87.9,75.9,82,0.512,100,4.17,rain,0,0,25.3,17.2,98.8,1016.4,60.8,4.2,259.3,22.4,8,10,2025-06-02T05:42:34,2025-06-02T18:25:24,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-03,87.6,76.8,80.9,97.7,76.8,85.4,75.5,84.3,0.02,100,8.33,rain,0,0,22.1,15,107.2,1014.9,53.3,5.1,287,24.8,9,10,2025-06-03T05:42:37,2025-06-03T18:25:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-04,86.2,75,80.6,96.5,75,84.6,74.7,83.1,0.161,100,4.17,rain,0,0,21.3,17.2,98.2,1013.6,49.8,7,278,24,9,10,2025-06-04T05:42:41,2025-06-04T18:25:57,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-05,86.2,75.2,79.7,97.3,75.2,83.4,75.3,86.8,0.091,100,12.5,rain,0,0,20.6,16.1,105,1013.7,57.9,7,239.3,20.7,9,30,2025-06-05T05:42:45,2025-06-05T18:26:13,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-06,84.2,76.8,79.7,95.9,76.8,83.3,76,89.2,1.567,100,8.33,rain,0,0,23.9,18.3,99.2,1014.1,69.7,6.4,192.3,16.7,7,30,2025-06-06T05:42:51,2025-06-06T18:26:30,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-07,86.1,77.1,80.4,99.2,77.1,85.2,77.3,90.5,0.201,100,8.33,rain,0,0,31.1,13.9,104.8,1014.1,66.1,5.8,273.3,23.5,9,30,2025-06-07T05:42:57,2025-06-07T18:26:46,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-08,86.1,76.8,80.9,99.2,76.8,85.6,76.1,85.9,0,0,0,rain,0,0,26.2,20.8,96.6,1013.9,51.6,4.4,281.8,24.5,9,10,2025-06-08T05:43:03,2025-06-08T18:27:03,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-09,87.8,77,80.7,99.5,77,84.3,75.7,85.5,0.055,100,8.33,rain,0,0,27.3,18.3,98.3,1013.7,65.6,4.7,268,23.3,9,30,2025-06-09T05:43:10,2025-06-09T18:27:19,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-10,80.4,75,77.1,87.6,75,77.4,75.8,95.8,1.22,100,12.5,rain,0,0,26.4,18.3,111.1,1014.5,65.7,5.3,173.9,14.9,7,30,2025-06-10T05:43:18,2025-06-10T18:27:35,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-11,82.2,75.1,77.4,91.9,75.1,78.6,76.3,96.5,0.276,100,8.33,rain,0,0,30.6,13.9,112.5,1014.5,71.3,4.9,111.2,9.5,5,30,2025-06-11T05:43:26,2025-06-11T18:27:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-12,79.8,75,76.9,79.8,75,76.9,75.3,94.9,5.626,100,12.5,rain,0,0,26.6,20.6,88.7,1014.3,74.8,5.4,126.6,10.9,5,10,2025-06-12T05:43:35,2025-06-12T18:28:06,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634,remote"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-13,85.8,76.8,80.6,96.7,76.8,85.2,76,86.2,0.398,100,4.17,rain,0,0,27.3,23,102.6,1014.2,67.4,5.1,127,11.2,5,10,2025-06-13T05:43:45,2025-06-13T18:28:22,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-14,85.8,76.8,79.9,95,76.8,83,75.1,85.7,0.039,100,4.17,rain,0,0,27.5,18.3,103.5,1015.6,56.5,5.3,266.4,23,9,10,2025-06-14T05:43:55,2025-06-14T18:28:37,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-15,87.6,75.2,80.7,97.7,75.2,85.2,75.6,85.2,0.039,100,4.17,rain,0,0,24.6,16.1,104.5,1016.4,34.8,6.7,276.2,23.8,9,30,2025-06-15T05:44:05,2025-06-15T18:28:52,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-16,87.6,77.2,81.4,99.9,77.2,86.3,76.1,84.4,0.012,100,8.33,rain,0,0,23.7,17.2,109.4,1015.2,41.3,6.8,256.7,22.1,8,30,2025-06-16T05:44:16,2025-06-16T18:29:07,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-17,86,76.9,80.8,99.1,76.9,86.5,77.1,88.5,0.043,100,8.33,rain,0,0,21,15,108,1014.8,68.2,6.5,260.1,22.4,8,30,2025-06-17T05:44:28,2025-06-17T18:29:21,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-18,85.9,75.4,79.8,99,75.4,83.3,76.8,91,0.61,100,12.5,rain,0,0,23.5,15,120.3,1015,70.9,6.7,256.3,22.1,8,30,2025-06-18T05:44:39,2025-06-18T18:29:35,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-19,84.1,77,80,95.7,77,83.6,77.2,91.2,0.402,100,12.5,rain,0,0,25.5,15,106.5,1014.7,66.2,5.9,212,18.1,8,30,2025-06-19T05:44:52,2025-06-19T18:29:49,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
