name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-21,87.9,75.2,81.4,102,75.2,87.2,76.4,85.4,0,0,0,rain,0,0,22.1,16.1,93.9,1013.1,49.8,7.7,247.4,21.4,8,60,2025-07-21T05:52:56,2025-07-21T18:32:11,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-22,87.6,76.8,81.6,101.8,76.8,87.6,76.9,86.3,0.315,100,4.17,rain,0,0,18.8,12.8,108.8,1012.9,55.8,7.3,263.5,22.7,8,30,2025-07-22T05:53:09,2025-07-22T18:32:02,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-23,88,73.5,81,102.4,73.5,86.8,77,88.1,1.15,100,8.33,rain,0,0,27.7,13.9,107.3,1014.5,61,7.8,235,20.2,8,30,2025-07-23T05:53:21,2025-07-23T18:31:53,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-24,80.8,75.1,77.6,88.5,75.1,79.1,76.3,95.9,0.905,100,8.33,rain,0,0,21.9,9.1,98.4,1014.6,64,6,195.2,16.9,7,60,2025-07-24T05:53:33,2025-07-24T18:31:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-25,89.5,75,80.3,102.3,75,84.8,76.1,88.2,0,0,0,rain,0,0,19.9,13.9,94.3,1012.5,52.9,6.6,234.8,20.3,8,30,2025-07-25T05:53:45,2025-07-25T18:31:32,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-26,89.4,75.3,81.2,102.5,75.3,87.2,76.9,87.6,0,0,0,rain,0,0,18.1,12.8,119.6,1012.4,65.3,7.3,256.6,22.2,8,60,2025-07-26T05:53:56,2025-07-26T18:31:20,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-27,87.6,77.1,81.2,99.9,77.1,86.8,77.2,88.3,0.315,100,4.17,rain,0,0,21.3,11.4,109.6,1013.7,57,7.7,261.1,22.4,9,60,2025-07-27T05:54:07,2025-07-27T18:31:07,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-28,88,76.9,81.8,108.2,76.9,89.2,78.1,89.1,0.331,100,8.33,rain,0,0,21,16.1,101.7,1014.5,52.3,7,262.2,22.4,9,60,2025-07-28T05:54:18,2025-07-28T18:30:54,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-29,89.7,77.1,82.5,102.4,77.1,88.5,76.5,83,0,0,0,rain,0,0,20.1,12.8,96.6,1014.5,36,6.8,300.8,26.2,10,30,2025-07-29T05:54:28,2025-07-29T18:30:39,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-30,89.5,73.3,80.9,102.1,73.3,85.5,74,80.7,0,0,0,rain,0,0,16.6,11.4,103.1,1014.5,29.6,7.1,296.2,25.5,10,30,2025-07-30T05:54:38,2025-07-30T18:30:24,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-07-31,87.5,74.9,80.6,101.6,74.9,86.6,75.9,85.8,0.004,100,4.17,rain,0,0,18.3,13.9,98.5,1015.4,56.9,6.9,269.6,23.2,9,30,2025-07-31T05:54:48,2025-07-31T18:30:08,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-01,87.8,76.8,81.3,102.5,76.8,87.3,77.1,87.4,0,0,0,rain,0,0,20.6,11.4,99.6,1015.7,56.2,7,256.5,21.9,8,30,2025-08-01T05:54:57,2025-08-01T18:29:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-02,87.7,77.2,81.5,101.9,77.2,87.1,77.2,87.7,0.358,100,12.5,rain,0,0,23.3,15,114.4,1015.8,50.8,7.2,260.1,22.5,9,30,2025-08-02T05:55:06,2025-08-02T18:29:34,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-03,87.8,76.7,81.8,101.7,76.7,87.9,76.6,85.1,0,0,0,rain,0,0,20.1,16.1,113.4,1014.5,40.7,8.3,264.6,22.8,9,60,2025-08-03T05:55:14,2025-08-03T18:29:16,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-04,89.4,76.9,82.5,103.8,76.9,89.3,76.9,84.1,0.161,100,4.17,rain,0,0,21.7,13.9,100.3,1014.5,47.1,7.3,245.4,21.3,9,60,2025-08-04T05:55:22,2025-08-04T18:28:56,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-05,88,77.2,81.9,102.4,77.2,88.5,77.5,86.9,0.055,100,8.33,rain,0,0,20.1,15,97.8,1015.4,51.9,7.4,227.9,19.6,8,60,2025-08-05T05:55:29,2025-08-05T18:28:36,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-06,89.6,76.7,81.5,102.6,76.7,86.4,76.2,84.8,0.083,100,8.33,rain,0,0,23.7,15,105.4,1014.9,60.9,7,264.5,22.8,9,30,2025-08-06T05:55:36,2025-08-06T18:28:16,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-07,80.3,73.6,76.6,86.5,73.6,76.9,75,94.8,1.316,100,12.5,rain,0,0,26.4,16.1,105.4,1012.9,77.9,6,154.7,13.3,6,60,2025-08-07T05:55:43,2025-08-07T18:27:54,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-08,87.5,76.9,80.9,102,76.9,86.7,77.3,89.4,0.055,100,8.33,rain,0,0,23.5,13.9,115.3,1012.5,69.9,7,244.7,21.1,9,60,2025-08-08T05:55:49,2025-08-08T18:27:32,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-09,84.4,76.9,80.2,94.5,76.9,84.3,76.2,87.9,0.54,100,8.33,rain,0,0,22.4,10.3,283.3,1014.1,73.3,7.2,229.6,20.1,9,30,2025-08-09T05:55:55,2025-08-09T18:27:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-10,89.5,75.2,81.5,100.2,75.2,86.4,75.4,82.9,0,0,0,rain,0,0,20.1,15,108.1,1014.4,64.4,8.3,199.9,17.2,7,60,2025-08-10T05:56:01,2025-08-10T18:26:45,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-11,89.7,75.4,82.6,104.7,75.4,89.6,76.6,83.1,0,0,0,rain,0,0,21,12.8,115.4,1013.6,55.1,7.8,266,23,9,75,2025-08-11T05:56:06,2025-08-11T18:26:20,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-12,89.8,77.2,83.6,105.1,77.2,92,76.8,80.6,0,0,0,rain,0,0,22.4,16.1,101.9,1012.8,44.5,5.3,277.1,23.9,9,60,2025-08-12T05:56:10,2025-08-12T18:25:55,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-13,89.7,75.4,82.5,102.6,75.4,88.5,75.5,80.4,0,0,0,rain,0,0,18.1,12.8,110.4,1012.1,45.4,7,278.3,24,9,60,2025-08-13T05:56:14,2025-08-13T18:25:29,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-14,85.8,75.4,80.7,99.1,75.4,86.8,77,88.7,0.012,100,4.17,rain,0,0,16.6,11.4,117.4,1012.7,50.9,7.3,250.4,21.5,8,60,2025-08-14T05:56:18,2025-08-14T18:25:03,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-15,86.2,76.8,78.9,99.5,76.8,81.4,76.5,92.8,0.63,100,4.17,rain,0,0,14.3,6.9,129,1013.2,69,7.5,264.8,22.8,9,30,2025-08-15T05:56:22,2025-08-15T18:24:36,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-16,87.5,75,78.3,102.1,75,81.4,76,92.7,4.094,100,8.33,rain,0,0,21.3,15,73.3,1012.5,64.7,7.1,256.3,22.2,8,30,2025-08-16T05:56:25,2025-08-16T18:24:08,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-17,91.2,75,82.1,107.7,75,89.6,76.9,85,0,0,0,rain,0,0,21.3,13.9,139.7,1012.3,51.5,7.3,267.6,22.8,9,30,2025-08-17T05:56:27,2025-08-17T18:23:39,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-18,91.2,76.8,82.8,104.5,76.8,89.6,76.6,82.4,0,0,0,rain,0,0,20.1,13.9,123.6,1013.6,51.2,8.6,265.6,23,9,30,2025-08-18T05:56:30,2025-08-18T18:23:10,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-19,89.7,76.8,82.7,104.6,76.8,89.5,76.4,82.1,0.004,100,4.17,rain,0,0,16.8,11.4,135.4,1013.7,61.6,7.9,275.8,23.9,9,60,2025-08-19T05:56:31,2025-08-19T18:22:40,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-20,91.1,76.7,82.9,110,76.7,90.5,76.7,82.3,0,0,0,rain,0,0,23,14,111.1,1012.8,49.5,6.2,261.4,22.6,9,75,2025-08-20T05:56:33,2025-08-20T18:22:10,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-21,89.7,76.8,82.1,102.9,76.8,88.9,76.8,84.6,0.039,100,4.17,rain,0,0,20.8,12.8,123.2,1011.6,59.7,5.5,268.4,23.2,9,75,2025-08-21T05:56:34,2025-08-21T18:21:39,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-22,89.8,77.2,83.6,105.6,77.2,92.3,77.6,82.8,0,0,0,rain,0,0,18.1,12.8,123.5,1012.1,58.4,6.8,249.9,21.6,8,60,2025-08-22T05:56:35,2025-08-22T18:21:08,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-23,89.5,76.9,82.3,104.7,76.9,89,76.7,83.7,0,0,0,rain,0,0,21.9,11.4,102.1,1013.2,53,7,245.5,21.1,8,60,2025-08-23T05:56:35,2025-08-23T18:20:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-24,89.4,75.2,80.9,104.5,75.2,86.9,76.7,87.7,0.004,100,4.17,rain,0,0,23.3,12.8,112.3,1012.7,58.5,6.5,250.2,21.4,9,75,2025-08-24T05:56:36,2025-08-24T18:20:03,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-25,89.6,76.8,82.2,108.1,76.8,89.6,77.5,86.3,0.076,100,54.17,rain,0,0,21.7,11.4,124.5,1013.1,54.3,6.3,247.6,21.2,8,60,2025-08-25T05:56:35,2025-08-25T18:19:30,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-26,87.8,77,81.1,99.9,77,86.9,76.8,87.1,0.124,100,45.83,rain,0,0,22.1,9.3,118.7,1014.1,39.1,6.2,250.7,21.5,8,60,2025-08-26T05:56:35,2025-08-26T18:18:57,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-27,89.6,77,83.1,105.2,77,90.5,77.1,83.1,0.04,100,25,rain,0,0,19.7,12.8,138.7,1015.2,56.3,6,272.7,23.7,9,60,2025-08-27T05:56:34,2025-08-27T18:18:23,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-28,84.2,77,80.1,96.1,77,85,76.9,89.9,0.044,100,25,rain,0,0,19.9,11.4,118.5,1015.8,46.3,6.2,258.9,22.3,9,60,2025-08-28T05:56:33,2025-08-28T18:17:48,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-29,91.4,75.2,81.9,107.8,75.2,89,76.6,84.7,0.428,100,83.33,rain,0,0,21.7,10.3,102,1013,53.6,6.1,176.4,15.2,6,60,2025-08-29T05:56:32,2025-08-29T18:17:14,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-30,87.7,76.9,80.1,104.9,76.9,84,77.4,91.6,0.048,100,37.5,rain,0,0,21.7,11.4,108.6,1011.6,30.2,6.2,236.9,20.6,9,60,2025-08-30T05:56:30,2025-08-30T18:16:38,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,TTPP
"Port of Spain, Trinidad, Trinidad And Tobago",2025-08-31,89.5,76.9,81.5,107.8,76.9,88.3,77.8,89.2,0.06,100,45.83,rain,0,0,19.2,12.8,109,1012.7,36.3,5.8,250.4,21.8,9,60,2025-08-31T05:56:28,2025-08-31T18:16:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-01,86.2,76.9,81.5,101.6,76.9,87.5,77.5,88.1,0.076,100,58.33,rain,0,0,19.2,11.4,111.8,1013,37.4,6.2,257.9,22.4,9,30,2025-09-01T05:56:26,2025-09-01T18:15:27,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-02,87.9,75.2,79.4,102.6,75.2,82.7,76.5,91.1,0.068,100,41.67,rain,0,0,20.6,11.4,114.2,1013.4,49.1,6,266.1,22.9,9,60,2025-09-02T05:56:24,2025-09-02T18:14:50,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-03,87.8,75.2,80.7,102.4,75.2,86.7,76.7,88.4,0.23,100,75,rain,0,0,19.2,15,112.2,1013.1,45.8,6.3,234.5,20.2,8,60,2025-09-03T05:56:21,2025-09-03T18:14:14,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-04,89.6,77,82.2,102.4,77,88.4,76.9,84.7,0.195,100,58.33,rain,0,0,18.3,13.9,106.8,1012.8,46.5,6.2,264.1,22.8,9,60,2025-09-04T05:56:19,2025-09-04T18:13:37,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-05,87.8,77,80.6,102.4,77,85,76.9,89,0.204,100,79.17,rain,0,0,20.6,20.8,120.3,1013.3,55.6,6.1,255.3,21.9,8,60,2025-09-05T05:56:16,2025-09-05T18:13:00,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-06,84.2,75.2,78.1,96.1,75.2,79.9,75,90.2,0.306,100,70.83,rain,0,0,21.9,11.4,118.7,1013.5,65.7,5.8,208.3,18.2,7,60,2025-09-06T05:56:13,2025-09-06T18:12:22,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-07,89.6,75.2,81.4,105.2,75.2,88.2,76.3,85.4,0.076,100,20.83,rain,0,0,19.2,12.8,119.3,1014.1,49.5,6.2,263.8,22.9,10,60,2025-09-07T05:56:10,2025-09-07T18:11:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-08,89.6,75.2,82.1,102.4,75.2,87.6,75.5,81.7,0.032,100,25,rain,0,0,17.2,9.2,114.4,1014,28.1,6.4,274.6,23.7,9,60,2025-09-08T05:56:06,2025-09-08T18:11:07,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-09,86,73.4,79.3,97.1,73.4,83.2,76.1,90.3,0.087,100,20.83,rain,0,0,19.7,10.3,120.5,1014.4,38.6,6.3,243.2,21.2,8,60,2025-09-09T05:56:03,2025-09-09T18:10:28,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-10,89.6,75.2,82.2,105.2,75.2,90.1,77.2,85.7,0.02,100,16.67,rain,0,0,18.3,15,112.5,1013.7,48.5,5.9,251.9,21.7,9,60,2025-09-10T05:55:59,2025-09-10T18:09:50,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-09-11,89.6,75.2,80.8,105.2,75.2,85.7,77.1,88.9,0.301,100,54.17,rain,0,0,17.9,11.4,120,1012.6,58.6,6,224.3,19.3,8,60,2025-09-11T05:55:55,2025-09-11T18:09:12,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
