name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-18,84.3,73.3,79,96.2,73.3,81.6,75.7,89.9,0.039,100,4.17,rain,0,0,19.2,16.1,96.1,1014.7,65.4,7.2,120.9,10.4,4,60,2025-07-18T05:52:15,2025-07-18T18:31:15,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-19,89.4,75.3,80.7,104.5,75.3,85.8,76.1,86.6,0.157,100,4.17,rain,0,0,17.2,16.1,107.6,1014.5,59.2,7.7,203.3,17.5,8,30,2025-07-19T05:52:28,2025-07-19T18:31:09,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-20,87.9,76.8,81.5,99.4,76.8,86.3,76,84.6,0.382,100,4.17,rain,0,0,20.1,15,91.5,1014.7,62.7,7.6,192,16.6,7,60,2025-07-20T05:52:41,2025-07-20T18:31:03,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-21,87.9,75.2,81.4,102,75.2,87.2,76.4,85.5,0,0,0,rain,0,0,24.2,16.1,94.8,1013.1,51.4,7.8,229.7,19.8,8,60,2025-07-21T05:52:54,2025-07-21T18:30:56,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-22,87.6,76.8,81.6,101.7,76.8,87.6,76.9,86.3,0.315,100,4.17,rain,0,0,17.9,12.8,108.8,1012.9,58.8,7.4,265.1,23,9,30,2025-07-22T05:53:06,2025-07-22T18:30:48,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-23,88,73.5,81,102.4,73.5,86.9,77,88.1,1.15,100,8.33,rain,0,0,27.7,13.9,107.9,1014.5,63.4,8,194.3,16.8,7,60,2025-07-23T05:53:18,2025-07-23T18:30:39,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-24,80.8,75.1,77.6,88.5,75.1,79.1,76.3,95.9,0.905,100,8.33,rain,0,0,19.2,9.3,98.3,1014.7,67.7,6,172.4,14.8,6,60,2025-07-24T05:53:30,2025-07-24T18:30:29,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-25,89.5,75,80.3,102.3,75,84.8,76.1,88.2,0,0,0,rain,0,0,20.8,13.9,94.3,1012.5,55.6,6.6,204.4,17.5,7,60,2025-07-25T05:53:41,2025-07-25T18:30:19,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-26,89.4,75.3,81.2,102.6,75.3,87.3,76.9,87.6,0,0,0,rain,0,0,22.1,12.8,120,1012.5,69.2,7.4,267.4,22.9,9,60,2025-07-26T05:53:52,2025-07-26T18:30:07,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-27,87.6,77.1,81.2,99.9,77.1,86.8,77.2,88.3,0.315,100,4.17,rain,0,0,21.9,11.4,108.8,1013.7,59.7,7.9,226.5,19.4,8,60,2025-07-27T05:54:03,2025-07-27T18:29:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
