name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-05,87.7,71.6,78.8,95.7,71.6,80.6,69.9,75.2,0.016,100,16.67,12.7,112.7,1012.2,37.2,6.2,225.1,19.5,8,2026-01-05T06:25:10,2026-01-05T17:56:34,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-06,87.7,71.7,79.1,95.0,71.7,81.2,70.5,76.0,0.024,100,25.0,12.7,107.2,1012.1,47.5,6.4,220.4,19.0,8,2026-01-06T06:25:31,2026-01-06T17:57:06,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-07,85.9,71.6,78.9,91.9,71.6,80.9,70.5,76.3,0.02,100,20.83,13.8,99.1,1013.2,44.5,6.2,215.1,18.5,8,2026-01-07T06:25:50,2026-01-07T17:57:39,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-08,86.0,73.4,79.7,90.6,73.4,81.7,70.4,74.2,0.024,100,25.0,13.9,108.0,1013.2,29.8,6.2,230.9,19.7,8,2026-01-08T06:26:09,2026-01-08T17:58:11,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-09,80.5,73.4,77.0,86.0,73.4,77.8,71.6,83.8,0.567,100,95.83,13.9,96.2,1013.2,53.5,6.2,156.9,13.6,6,2026-01-09T06:26:26,2026-01-09T17:58:43,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-10,78.9,73.4,75.4,78.9,73.4,75.4,70.9,86.2,0.283,100,87.5,12.7,112.0,1012.8,56.2,6.1,113.3,9.8,4,2026-01-10T06:26:43,2026-01-10T17:59:15,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-11,86.0,71.7,78.2,90.6,71.7,79.7,70.5,78.4,0.068,100,54.17,15.0,98.5,1012.4,47.4,6.2,224.3,19.4,8,2026-01-11T06:26:59,2026-01-11T17:59:47,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-12,86.0,73.4,77.7,90.6,73.4,79.2,70.6,79.9,0.15,100,70.83,13.8,106.7,1013.2,56.1,6.4,188.2,16.1,7,2026-01-12T06:27:14,2026-01-12T18:00:19,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-13,84.2,73.4,77.9,89.6,73.4,79.2,70.9,79.7,0.188,100,70.83,11.4,104.7,1012.9,49.1,6.2,120.9,10.5,5,2026-01-13T06:27:28,2026-01-13T18:00:50,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-14,86.0,73.4,78.7,91.9,73.4,81.0,72.2,81.2,0.232,100,83.33,19.6,109.2,1012.3,53.2,6.1,191.2,16.6,7,2026-01-14T06:27:41,2026-01-14T18:01:21,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-15,84.2,76.9,79.2,92.4,76.9,81.2,73.7,83.5,0.163,100,66.67,13.9,109.5,1012.2,56.3,6.2,168.8,14.4,6,2026-01-15T06:27:53,2026-01-15T18:01:52,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-16,86.0,75.2,78.8,93.4,75.2,80.8,72.8,82.3,0.104,100,70.83,20.6,93.5,1012.7,53.3,5.7,210.7,18.1,8,2026-01-16T06:28:04,2026-01-16T18:02:22,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-17,84.2,75.2,79.8,87.4,75.2,81.3,69.2,70.8,0.06,100,45.83,17.2,100.4,1012.7,33.6,6.2,232.5,19.9,8,2026-01-17T06:28:14,2026-01-17T18:02:52,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-18,86.0,71.6,78.5,89.4,71.6,79.9,69.1,73.8,0.008,100,8.33,13.9,107.3,1012.1,29.1,6.2,245.5,21.2,9,2026-01-18T06:28:23,2026-01-18T18:03:22,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
