name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-05,85.8,75.6,79.9,92.0,75.6,82.1,71.8,77.2,0.075,100,25.0,59.0,97.4,1011.6,51.6,6.1,188.4,16.3,7,2025-12-05T06:09:24,2025-12-05T17:41:17,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-06,86.0,74.6,78.9,91.0,74.6,80.9,71.7,79.1,0.114,100,41.67,14.5,101.0,1012.3,58.2,5.8,205.6,17.7,7,2025-12-06T06:09:55,2025-12-06T17:41:37,0.56,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-07,82.4,75.6,78.7,89.1,75.6,80.1,73.7,84.8,0.651,100,83.33,18.6,106.0,1012.7,66.8,5.6,142.7,12.5,5,2025-12-07T06:10:27,2025-12-07T17:41:57,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-08,85.8,75.4,79.4,93.4,75.4,81.8,72.7,80.6,0.064,100,45.83,13.9,108.0,1012.6,60.1,6.2,225.6,19.4,8,2025-12-08T06:10:59,2025-12-08T17:42:18,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-09,84.2,75.6,79.5,86.8,75.6,80.6,69.6,73.0,0.02,100,16.67,15.0,109.9,1012.4,32.0,6.2,241.7,20.8,9,2025-12-09T06:11:30,2025-12-09T17:42:40,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-10,84.9,75.8,80.1,89.9,75.8,82.2,71.4,75.5,0.02,100,12.5,19.3,99.9,1012.4,30.9,6.2,231.1,19.9,8,2025-12-10T06:12:02,2025-12-10T17:43:03,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-11,85.8,73.6,79.5,92.0,73.6,81.8,71.0,76.1,0.008,100,8.33,16.0,100.7,1012.5,30.4,6.2,231.0,19.9,8,2025-12-11T06:12:34,2025-12-11T17:43:27,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-12,86.0,75.4,79.8,91.4,75.4,81.9,71.9,77.5,0.04,100,20.83,20.1,100.4,1011.8,45.9,5.9,225.9,19.5,8,2025-12-12T06:13:06,2025-12-12T17:43:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-13,84.2,75.4,78.7,89.9,75.4,80.1,71.8,79.7,0.088,100,33.33,13.4,111.5,1011.9,47.4,6.2,191.1,16.5,7,2025-12-13T06:13:38,2025-12-13T17:44:16,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-14,84.2,75.6,80.0,90.2,75.6,82.2,71.6,76.2,0.036,100,29.17,17.3,114.0,1012.3,44.1,6.2,222.0,19.1,8,2025-12-14T06:14:10,2025-12-14T17:44:42,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
