name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Scarborough, Tobago, Trinidad And Tobago",2025-08-05,89.4,78.9,83.7,100.2,78.9,90.8,75.2,76.1,0.016,100,4.17,17.2,77.9,1015.5,45.9,8.0,259.1,22.4,9,2025-08-05T05:51:42,2025-08-05T18:26:09,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-06,86.1,76.8,81.7,97.6,76.8,87.3,75.1,80.5,0.244,100,8.33,10.3,50.3,1015.1,64.6,7.3,261.5,22.7,9,2025-08-06T05:51:50,2025-08-06T18:25:47,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-07,87.6,75.3,79.8,99.5,75.3,83.2,75.8,87.7,0.59,100,16.67,18.3,79.9,1012.7,74.3,6.7,215.1,18.5,8,2025-08-07T05:51:57,2025-08-07T18:25:25,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-08,86.2,78.5,82.3,99.7,78.5,89.4,76.7,83.5,0.051,100,8.33,17.2,89.3,1012.5,65.0,7.6,251.4,21.7,9,2025-08-08T05:52:04,2025-08-08T18:25:02,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-09,85.9,77.1,81.5,97.1,77.1,87.6,75.7,82.8,0.315,100,8.33,11.4,107.9,1014.1,62.9,8.1,244.1,21.3,8,2025-08-09T05:52:11,2025-08-09T18:24:39,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-10,86.2,76.9,80.5,97.3,76.9,84.1,74.8,83.0,0.157,100,4.17,11.4,71.1,1014.7,57.5,8.4,194.9,16.9,6,2025-08-10T05:52:17,2025-08-10T18:24:14,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-11,87.6,76.9,82.5,99.7,76.9,89.6,76.0,81.2,0.079,100,4.17,11.4,79.0,1013.8,31.7,8.4,271.8,23.3,9,2025-08-11T05:52:23,2025-08-11T18:23:49,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-12,88.0,78.7,83.6,102.9,78.7,91.4,75.7,77.7,0.0,0,0.0,17.2,82.4,1013.0,33.7,6.8,265.0,23.1,9,2025-08-12T05:52:28,2025-08-12T18:23:23,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-13,87.7,78.5,82.9,99.6,78.5,88.7,73.9,74.8,0.004,100,4.17,14.3,86.4,1012.2,29.2,8.6,281.4,24.2,9,2025-08-13T05:52:33,2025-08-13T18:22:56,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78961300410,TTCP,remote,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-14,87.6,77.2,82.9,101.7,77.2,90.6,76.6,81.6,0.0,0,0.0,8.1,103.8,1012.7,36.4,8.9,255.0,22.2,9,2025-08-14T05:52:38,2025-08-14T18:22:29,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
